title,A,B,C,D,result
在 PowerPoint 演示文稿中通过分节组织幻灯片，如果要选中某一节内的所有幻灯片，最优的操作方法是：,A)按 Ctrl+A 组合键。,B)选中该节的一张幻灯片，然后按住 Ctrl 键，逐个选中该节的其它幻灯片。,C)选中该节的第一张幻灯片，然后按住 Shift键，单击该节的最后一张幻灯片。,D)单击节标题。,3
小梅需将 PowerPoint 演示文稿内容制作成一份Word 版本讲义，以便后续可以灵活编辑及打印，最优的操作方法是：,A)将演示文稿另存为“大纲/RTF 文件”格式，然后在 Word 中打开。,B)在 PowerPoint 中利用“创建讲义”功能，直接创建 Word 讲义。,C)将演示文稿中的幻灯片以粘贴对象的方式一张张复制到 Word 文档中。,D)切换到演示文稿的“大纲”视图，将大纲内容直接复制到 Word 文档中。,1
小刘正在整理公司各产品线介绍的PowerPoint 演示文稿，因幻灯片内容较多，不易于对各产品线演示内容进行管理。快速分类和管理幻灯片的最优操作方法是：,A)将演示文稿拆分成多个文档，按每个产品线生成一份独立的演示文稿。,B)为不同的产品线幻灯片分别指定不同的设计主题，以便浏览。,C)利用自定义幻灯片放映功能，将每个产品线定义为独立的放映单元。,D)利用节功能，将不同的产品线幻灯片分别定义为独立节。,3
在一次校园活动中拍摄了很多数码照片，现需将这些照片整理到一个 PowerPoint 演示文稿中，快速制作的最优操作方法是：,A)创建一个 PowerPoint 相册文件。,B)创建一个 PowerPoint 演示文稿，然后批量插入图片。,C)创建一个 PowerPoint 演示文稿，然后在每页幻灯片中插入图片。,D)在文件夹中选中所有照片，然后单击鼠标右键直接发送到 PowerPoint 演示文稿中。,0
如果需要在一个演示文稿的每页幻灯片左下角相同位置插入学校的校徽图片，最优的操作方法是：,A)打开幻灯片母版视图，将校徽图片插入在母版中。,B)打开幻灯片普通视图，将校徽图片插入在幻灯片中。,C)打开幻灯片放映视图，将校徽图片插入在幻灯片中。,D)打开幻灯片浏览视图，将校徽图片插入在幻灯片中。,0
小李利用 PowerPoint 制作产品宣传方案，并希望在演示时能够满足不同对象的需要，处理该演示文稿的最优操作方法是：,A)制作一份包含适合所有人群的全部内容的演示文稿，每次放映时按需要进行删减。,B)制作一份包含适合所有人群的全部内容的演示文稿，放映前隐藏不需要的幻灯片。,C)制作一份包含适合所有人群的全部内容的演示文稿，然后利用自定义幻灯片放映功能创建不同的演示方案。,D)针对不同的人群，分别制作不同的演示文稿。,2
江老师使用 Word 编写完成了课程教案，需根据该教案创建 PowerPoint 课件，最优的操作方法是：,A)参考 Word 教案，直接在 PowerPoint 中输入相关内容。,B) 在 Word 中 直 接 将 教 案 大 纲 发 送 到PowerPoint。,C)从 Word 文档中复制相关内容到幻灯片中。,D)通过插入对象方式将 Word 文档内容插入到幻灯片中。,1
可以在 PowerPoint 内置主题中设置的内容是：,A)字体、颜色和表格,B)效果、背景和图片,C)字体、颜色和效果,D)效果、图片和表格,2
"在 PowerPoint 演示文稿中,不可以使用的对象是：",A)图片,B) 超链接,C) 视频,D)书签,3
小姚负责新员工的入职培训。在培训演示文稿中需要制作公的组织结构图。在PowerPoint中最优的操作方法是：,A)通过插入 SmartArt 图形制作组织结构图。,B) 直接在幻灯片的适当位置通过绘图工具绘制出组织结构图。,C)通过插入图片或对象的方式，插入在其他程序中制作好的组织结构图。,D)先在幻灯片中分级输入组织结构图的文字内容，然后将文字转换为 SmartArt 组织结构图。,0
李老师在用 PowerPoint 制作课件，她希望将学校的徽标图片放在除标题页之外的所有幻灯片右下角，并为其指定一个动画效果。最优的操作方法是：,A)先在一张幻灯片上插入徽标图片，并设置动画，然后将该徽标图片复制到其他幻灯片上。,B)分别在每一张幻灯片上插入徽标图片，并分别设置动画。,C)先制作一张幻灯片并插入徽标图片，为其设置动画，然后多次复制该张幻灯片。,D)在幻灯片母版中插入徽标图片，并为其设置动画。,3
在 PowerPoint 中，幻灯片浏览视图主要用于：,A) 对所有幻灯片进行整理编排或次序调整,B) 对幻灯片的内容进行编辑修改及格式调整,C) 对幻灯片的内容进行动画设计,D) 观看幻灯片的播放效果,0
在 PowerPoint 中，旋转图片的最快捷方法是：,A) 拖动图片四个角的任一控制点,B) 设置图片格式,C) 拖动图片上方绿色控制点,D) 设置图片效果,2
PowerPoint 演示文稿包含了 20 张幻灯片，需要放映奇数页幻灯片，最优的操作方法是：,A)将演示文稿的偶数张幻灯片删除后再放映。,B)将演示文稿的偶数张幻灯片设置为隐藏后再放映。,C)将演示文稿的所有奇数张幻灯片添加到自定义放映方案中，然后再放映。,D)设置演示文稿的偶数张幻灯片的换片持续时间为 0.01 秒，自动换片时间为 0 秒，然后再放映。,2
